category,roll_number,cgpa
overall,23031A0504,9.27
overall,24035A0127,8.88
overall,23031A0553,8.88
overall,23031A0530,8.88
overall,24035A0104,8.88
overall,24035A0412,8.82
overall,24035A0129,8.76
overall,24035A0218,8.73
overall,23031A0548,8.71
overall,23031A0524,8.71
ce,24035A0127,8.88
ce,24035A0104,8.88
ce,24035A0129,8.76
ce,24035A0111,8.53
ce,24035A0134,8.37
ce,24035A0108,8.27
ce,24035A0117,8.22
ce,24035A0116,8.17
ce,24035A0105,8.16
ce,24035A0132,8.12
eee,24035A0218,8.73
eee,23031A0211,8.38
eee,24035A0216,8.19
eee,23031A0231,8.08
eee,24035A0207,7.89
eee,24035A0201,7.82
eee,24035A0210,7.81
eee,24035A0204,7.77
eee,24035A0217,7.69
eee,23031A0210,7.61
mec,24035A0309,8.24
mec,24035A0307,8.22
mec,24035A0313,8.21
mec,24035A0323,8.19
mec,24035A0301,8.05
mec,24035A0324,8.02
mec,24035A0332,8
mec,24035A0334,7.86
mec,24035A0320,7.78
mec,24035A0317,7.73
ece,24035A0412,8.82
ece,23031A0415,8.46
ece,23031A0457,8.39
ece,24035A0413,8.26
ece,24035A0409,8.26
ece,24035A0404,8.18
ece,23031A0444,8.14
ece,23031A0450,8.14
ece,23031A0411,8.13
ece,23031A0456,8.12
cse,23031A0504,9.27
cse,23031A0553,8.88
cse,23031A0530,8.88
cse,23031A0524,8.71
cse,23031A0548,8.71
cse,23031A0532,8.69
cse,24035A0515,8.61
cse,23031A0541,8.57
cse,23031A0516,8.51
cse,24035A0506,8.5
