category,roll_number,cgpa
overall,21031A0534,9.07
overall,21031A0552,9.02
overall,21031A0537,9
overall,21031A0323,8.88
overall,21031A0423,8.87
overall,22035A0106,8.86
overall,22035A0316,8.75
overall,21031A0447,8.69
overall,22035A0331,8.68
overall,21031A0502,8.68
overall,21031A0522,8.68
ce,22035A0106,8.86
ce,22035A0130,8.62
ce,21031A0104,8.57
ce,22035A0117,8.44
ce,22035A0101,8.43
ce,22035A0121,8.41
ce,22035A0125,8.33
ce,22035A0129,8.26
ce,22035A0116,8.19
ce,22035A0115,8.1
eee,22035A0217,8.53
eee,22035A0211,8.19
eee,21031A0224,8.12
eee,21031A0205,8.09
eee,22035A0215,8.08
eee,21031A0206,8.07
eee,22035A0221,8.06
eee,22035A0226,8.06
eee,21031A0239,7.94
eee,22035A0210,7.93
mec,21031A0323,8.88
mec,22035A0316,8.75
mec,22035A0331,8.68
mec,22035A0318,8.56
mec,22035A0306,8.51
mec,22035A0303,8.48
mec,22035A0322,8.46
mec,22035A0314,8.39
mec,22035A0310,8.2
mec,22035A0307,8.19
ece,21031A0423,8.87
ece,21031A0447,8.69
ece,22035A0409,8.67
ece,22035A0402,8.51
ece,22035A0404,8.51
ece,21031A0410,8.33
ece,22035A0401,8.31
ece,21031A0454,8.22
ece,22035A0408,8.21
ece,21031A0437,8.19
cse,21031A0534,9.07
cse,21031A0552,9.02
cse,21031A0537,9
cse,21031A0502,8.68
cse,21031A0522,8.68
cse,21031A0561,8.67
cse,21031A0548,8.57
cse,21031A0532,8.48
cse,21031A0551,8.47
cse,21031A0546,8.4
