ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,Total Credits,CGPA,Supplementary Appearances
22031A0435,6.77,19.5,6.85,19.5,7.57,25.5,6.88,21.5,7.98,21.5,107.5,7.24,*
22031A0436,5.92,19.5,6.62,19.5,7.27,25.5,7.0,21.5,6.79,21.5,107.5,6.76,***
22031A0437,7.23,19.5,7.23,19.5,0.0,19.5,0.0,18.5,6.65,21.5,98.5,0.0,*
22031A0438,7.08,19.5,7.15,19.5,0.0,22.5,7.3,21.5,7.49,21.5,104.5,0.0,*
22031A0439,0.0,3.0,0.0,7.5,0.0,19.5,0.0,18.5,0.0,15.5,64.0,0.0,*******
22031A0440,6.38,19.5,7.54,19.5,7.25,25.5,7.67,21.5,7.67,21.5,107.5,7.31,**
22031A0441,0.0,16.5,0.0,16.5,0.0,22.5,0.0,12.5,0.0,15.5,83.5,0.0,********
22031A0442,6.15,19.5,6.77,19.5,7.31,25.5,6.58,21.5,6.84,21.5,107.5,6.76,**
22031A0443,6.62,19.5,6.77,19.5,7.53,25.5,6.84,21.5,6.67,21.5,107.5,6.92,*****
22031A0444,7.69,19.5,7.85,19.5,7.22,25.5,6.7,21.5,6.51,21.5,107.5,7.17,
22031A0445,7.54,19.5,7.54,19.5,7.57,25.5,7.53,21.5,7.23,21.5,107.5,7.48,*
22031A0446,7.92,19.5,7.38,19.5,8.41,25.5,7.63,21.5,7.26,21.5,107.5,7.75,
22031A0447,6.77,19.5,6.38,19.5,7.8,25.5,6.67,21.5,0.0,19.5,105.5,0.0,
22031A0448,0.0,16.5,7.62,19.5,6.9,25.5,6.98,21.5,6.67,21.5,104.5,0.0,****
22031A0449,6.38,19.5,6.31,19.5,0.0,19.5,0.0,15.5,0.0,18.5,92.5,0.0,******
22031A0450,7.31,19.5,7.15,19.5,7.8,25.5,7.05,21.5,7.23,21.5,107.5,7.33,
22031A0451,0.0,10.5,,,,,,,,,10.5,0.0,
22031A0452,5.69,19.5,6.23,19.5,6.88,25.5,6.63,21.5,6.74,21.5,107.5,6.47,*
22031A0453,7.92,19.5,8.15,19.5,7.8,25.5,7.72,21.5,7.67,21.5,107.5,7.84,
22031A0454,0.0,16.5,6.15,19.5,0.0,19.5,0.0,12.5,0.0,18.5,86.5,0.0,********
22031A0455,6.46,19.5,7.46,19.5,7.57,25.5,7.65,21.5,8.4,21.5,107.5,7.53,**
22031A0456,6.31,19.5,6.23,19.5,7.24,25.5,7.07,21.5,7.37,21.5,107.5,6.88,**
22031A0457,7.08,19.5,8.23,19.5,8.24,25.5,8.0,21.5,7.6,21.5,107.5,7.85,
22031A0458,0.0,16.5,0.0,16.5,6.73,25.5,0.0,18.5,0.0,12.5,89.5,0.0,********
22031A0459,0.0,9.0,0.0,14.5,0.0,10.5,,,,,34.0,0.0,*****
22031A0460,6.62,19.5,6.08,19.5,6.78,25.5,6.3,21.5,7.19,21.5,107.5,6.61,*****
22031A0501,6.85,19.5,6.23,19.5,6.84,25.5,0.0,18.5,6.12,21.5,104.5,0.0,***
22031A0502,7.23,19.5,8.0,19.5,7.94,25.5,7.6,21.5,7.3,21.5,107.5,7.63,
