ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,2-2,Credits_2-2,3-1,Credits_3-1,Total Credits,CGPA,Supplementary Appearances
23035A0343,,,,,7.61,25.5,6.28,21.5,7.09,21.5,68.5,7.03,
23035A0344,,,,,7.18,25.5,0.0,18.5,7.3,21.5,65.5,0.0,***
23035A0345,,,,,0.0,22.5,0.0,18.5,7.51,21.5,62.5,0.0,***
23035A0346,,,,,8.65,25.5,7.35,21.5,9.07,21.5,68.5,8.37,
23035A0347,,,,,8.12,25.5,7.44,21.5,7.58,21.5,68.5,7.74,**
23035A0401,,,,,7.67,25.5,8.0,21.5,7.37,21.5,68.5,7.68,
23035A0402,,,,,6.82,25.5,6.77,21.5,7.12,21.5,68.5,6.9,**
23035A0403,,,,,0.0,10.5,0.0,12.5,0.0,10.5,33.5,0.0,***
23035A0404,,,,,0.0,13.5,0.0,15.5,0.0,18.5,47.5,0.0,***
23035A0405,,,,,8.45,25.5,8.6,21.5,0.0,19.5,66.5,0.0,
23035A0406,,,,,0.0,19.5,0.0,18.5,6.33,21.5,59.5,0.0,***
23035A0407,,,,,6.78,25.5,7.56,21.5,6.88,21.5,68.5,7.06,
23035A0501,,,,,8.27,25.5,8.19,21.5,7.88,21.5,68.5,8.12,
23035A0502,,,,,8.51,25.5,7.98,21.5,8.09,21.5,68.5,8.21,
23035A0503,,,,,6.71,25.5,6.91,21.5,7.05,21.5,68.5,6.88,***
23035A0504,,,,,7.51,25.5,7.21,21.5,6.67,21.5,68.5,7.15,
23035A0505,,,,,7.47,25.5,7.05,21.5,6.95,21.5,68.5,7.17,
23035A0507,,,,,6.57,25.5,6.49,21.5,0.0,18.5,65.5,0.0,**
23035A0508,,,,,7.8,25.5,7.77,21.5,7.95,21.5,68.5,7.84,*
23035A0509,,,,,8.16,25.5,7.84,21.5,8.16,21.5,68.5,8.06,
23035A0510,,,,,7.78,25.5,0.0,18.5,8.02,21.5,65.5,0.0,*
