ID,1-1,Credits_1-1,1-2,Credits_1-2,Total Credits,CGPA,Supplementary Appearances
24031A0101,0.0,8.5,0.0,10.5,19.0,0.0,*
24031A0102,0.0,5.5,0.0,4.5,10.0,0.0,*
24031A0103,7.66,20.5,7.38,19.5,40.0,7.52,*
24031A0104,5.78,20.5,6.31,19.5,40.0,6.04,
24031A0105,6.71,20.5,0.0,13.5,34.0,0.0,
24031A0106,6.63,20.5,6.97,19.5,40.0,6.8,
24031A0108,0.0,14.5,0.0,10.5,25.0,0.0,*
24031A0109,0.0,11.5,0.0,7.5,19.0,0.0,*
24031A0110,0.0,17.5,,,17.5,0.0,
24031A0111,0.0,17.5,0.0,16.5,34.0,0.0,*
24031A0112,7.49,20.5,7.67,19.5,40.0,7.58,
24031A0113,0.0,11.5,0.0,10.5,22.0,0.0,*
24031A0115,0.0,8.5,0.0,7.5,16.0,0.0,*
24031A0116,6.22,20.5,6.74,19.5,40.0,6.47,*
24031A0117,7.61,20.5,8.13,19.5,40.0,7.86,*
24031A0118,0.0,14.5,0.0,10.5,25.0,0.0,*
24031A0119,6.12,20.5,0.0,10.5,31.0,0.0,*
24031A0120,0.0,14.5,0.0,10.5,25.0,0.0,*
24031A0121,0.0,17.5,0.0,5.5,23.0,0.0,*
24031A0122,0.0,5.5,,,5.5,0.0,
24031A0123,0.0,19.0,0.0,16.5,35.5,0.0,
24031A0125,0.0,4.0,0.0,7.5,11.5,0.0,*
24031A0126,0.0,17.5,0.0,13.5,31.0,0.0,*
24031A0128,7.76,20.5,8.1,19.5,40.0,7.93,*
24031A0129,0.0,17.5,0.0,13.5,31.0,0.0,*
24031A0130,0.0,17.5,0.0,10.5,28.0,0.0,*
24031A0131,0.0,14.5,0.0,5.5,20.0,0.0,*
24031A0132,6.2,20.5,5.82,19.5,40.0,6.01,*
24031A0133,0.0,17.5,0.0,16.5,34.0,0.0,*
24031A0134,0.0,8.5,0.0,6.5,15.0,0.0,*
24031A0135,0.0,17.5,6.36,19.5,37.0,0.0,*
24031A0136,7.32,20.5,7.31,19.5,40.0,7.32,
24031A0137,6.49,20.5,6.64,19.5,40.0,6.56,
