ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
23031A0448,7.0,20.5,7.38,19.5,0.0,17.0,57.0,0.0,*
23031A0449,6.22,20.5,7.36,19.5,6.38,20.0,60.0,6.64,
23031A0450,7.83,20.5,7.64,19.5,8.55,20.0,60.0,8.01,
23031A0451,0.0,17.5,6.49,19.5,6.52,20.0,57.0,0.0,**
23031A0452,6.83,20.5,7.92,19.5,0.0,17.0,57.0,0.0,**
23031A0453,6.41,20.5,7.38,19.5,7.78,20.0,60.0,7.18,**
23031A0454,7.34,20.5,7.82,19.5,7.55,20.0,60.0,7.57,
23031A0455,0.0,17.5,0.0,16.5,0.0,17.0,51.0,0.0,***
23031A0456,7.27,20.5,9.0,19.5,8.43,20.0,60.0,8.22,
23031A0457,8.46,20.5,8.97,19.5,7.9,20.0,60.0,8.44,
23031A0458,0.0,11.5,0.0,10.5,0.0,8.0,30.0,0.0,***
23031A0459,7.17,20.5,6.51,19.5,6.72,20.0,60.0,6.81,
23031A0501,8.26,19.5,7.71,20.5,6.92,20.0,60.0,7.63,
23031A0502,7.74,19.5,8.05,20.5,0.0,17.0,57.0,0.0,
23031A0503,8.85,19.5,8.12,20.5,6.4,20.0,60.0,7.78,*
23031A0504,9.21,19.5,9.54,20.5,8.65,20.0,60.0,9.14,
23031A0505,7.62,19.5,7.9,20.5,6.6,20.0,60.0,7.38,
23031A0506,7.13,19.5,7.07,20.5,0.0,17.0,57.0,0.0,*
23031A0507,7.9,19.5,0.0,17.5,,,37.0,0.0,*
23031A0508,7.64,19.5,7.41,20.5,0.0,14.0,54.0,0.0,*
23031A0509,5.97,19.5,0.0,17.5,5.75,20.0,57.0,0.0,***
23031A0510,6.41,19.5,6.98,20.5,0.0,17.0,57.0,0.0,
23031A0511,7.64,19.5,0.0,17.5,6.88,20.0,57.0,0.0,*
23031A0512,7.08,19.5,7.51,20.5,0.0,17.0,57.0,0.0,
23031A0513,7.62,19.5,7.46,20.5,7.5,20.0,60.0,7.53,
23031A0514,7.77,19.5,8.0,20.5,7.18,20.0,60.0,7.65,
23031A0515,8.56,19.5,8.15,20.5,8.32,20.0,60.0,8.34,
23031A0516,8.36,19.5,8.39,20.5,8.3,20.0,60.0,8.35,
23031A0517,8.18,19.5,0.0,17.5,6.9,20.0,57.0,0.0,
23031A0518,7.44,19.5,7.46,20.5,6.32,20.0,60.0,7.07,*
23031A0519,8.79,19.5,8.46,20.5,7.85,20.0,60.0,8.36,
23031A0520,7.31,19.5,0.0,11.5,0.0,11.0,42.0,0.0,**
23031A0521,7.56,19.5,7.51,20.5,7.1,20.0,60.0,7.39,
23031A0522,8.33,19.5,8.12,20.5,6.9,20.0,60.0,7.78,
23031A0523,6.79,19.5,0.0,14.5,0.0,17.0,51.0,0.0,*
23031A0524,8.85,19.5,9.0,20.5,8.02,20.0,60.0,8.62,
23031A0525,8.51,19.5,7.76,20.5,7.4,20.0,60.0,7.88,
23031A0526,8.62,19.5,8.32,20.5,8.2,20.0,60.0,8.38,
23031A0527,7.31,19.5,7.49,20.5,7.85,20.0,60.0,7.55,
