category,roll_number,cgpa
overall,22031A0527,9.01
overall,23035A0233,8.94
overall,22031A0506,8.81
overall,23035A0325,8.8
overall,22031A0548,8.74
overall,22031A0517,8.67
overall,22031A0547,8.64
overall,23035A0103,8.62
overall,22031A0536,8.62
overall,23035A0327,8.55
ce,23035A0103,8.62
ce,23035A0111,8.5
ce,23035A0119,8.32
ce,23035A0124,7.89
ce,23035A0105,7.88
ce,23035A0101,7.67
ce,23035A0122,7.64
ce,23035A0102,7.63
ce,23035A0121,7.54
ce,23035A0137,7.4
eee,23035A0233,8.94
eee,23035A0215,8.46
eee,22031A0218,8.46
eee,23035A0223,8.42
eee,23035A0202,8.28
eee,23035A0231,8.28
eee,23035A0232,8.12
eee,23035A0225,8.07
eee,23035A0211,7.93
eee,23035A0229,7.8
mec,23035A0325,8.8
mec,23035A0327,8.55
mec,23035A0346,8.4
mec,23035A0334,8.38
mec,23035A0331,8.3
mec,23035A0322,8.21
mec,23035A0340,8.12
mec,23035A0306,8.12
mec,23035A0328,8.09
mec,23035A0333,8.05
ece,22031A0408,8.52
ece,22031A0410,8.46
ece,22031A0406,8.3
ece,23035A0405,8.09
ece,22031A0457,7.88
ece,22031A0446,7.83
ece,22031A0453,7.81
ece,23035A0401,7.73
ece,22031A0420,7.7
ece,22031A0455,7.63
cse,22031A0527,9.01
cse,22031A0506,8.81
cse,22031A0548,8.74
cse,22031A0517,8.67
cse,22031A0547,8.64
cse,22031A0536,8.62
cse,22031A0535,8.47
cse,22031A0552,8.39
cse,22031A0513,8.34
cse,23035A0502,8.32
