ID,Subject Code,Subject Name,Grade,Credits
21031A0101,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,F,0.0
21031A0101,R2022012,STRENGTH OF MATERIALS-II,E,3.0
21031A0101,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,F,0.0
21031A0101,R2022014,ENVIRONMENTAL ENGINEERING,F,0.0
21031A0101,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,E,3.0
21031A0101,R2022016,ENVIRONMENTAL ENGINEERING LAB,A,1.5
21031A0101,R2022017,STRENGTH OF MATERIAL LAB,C,1.5
21031A0101,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY LAB,C,1.5
21031A0101,R2022019,SKILL ORIENTED COURSE*,C,2.0
21031A0102,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,D,3.0
21031A0102,R2022012,STRENGTH OF MATERIALS-II,E,3.0
21031A0102,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,D,3.0
21031A0102,R2022014,ENVIRONMENTAL ENGINEERING,D,3.0
21031A0102,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,D,3.0
21031A0102,R2022016,ENVIRONMENTAL ENGINEERING LAB,A,1.5
21031A0102,R2022017,STRENGTH OF MATERIAL LAB,B,1.5
21031A0102,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY LAB,C,1.5
21031A0102,R2022019,SKILL ORIENTED COURSE*,B,2.0
21031A0103,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,D,3.0
21031A0103,R2022012,STRENGTH OF MATERIALS-II,D,3.0
21031A0103,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,B,3.0
21031A0103,R2022014,ENVIRONMENTAL ENGINEERING,D,3.0
21031A0103,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,D,3.0
21031A0103,R2022016,ENVIRONMENTAL ENGINEERING LAB,A,1.5
21031A0103,R2022017,STRENGTH OF MATERIAL LAB,A,1.5
21031A0103,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY LAB,C,1.5
21031A0103,R2022019,SKILL ORIENTED COURSE*,A+,2.0
21031A0104,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,A+,3.0
21031A0104,R2022012,STRENGTH OF MATERIALS-II,C,3.0
21031A0104,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,A+,3.0
21031A0104,R2022014,ENVIRONMENTAL ENGINEERING,B,3.0
21031A0104,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,D,3.0
21031A0104,R2022016,ENVIRONMENTAL ENGINEERING LAB,A+,1.5
21031A0104,R2022017,STRENGTH OF MATERIAL LAB,A+,1.5
21031A0104,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY LAB,A,1.5
21031A0104,R2022019,SKILL ORIENTED COURSE*,A+,2.0
21031A0105,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,F,0.0
21031A0105,R2022012,STRENGTH OF MATERIALS-II,E,3.0
21031A0105,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,E,3.0
21031A0105,R2022014,ENVIRONMENTAL ENGINEERING,D,3.0
21031A0105,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,E,3.0
21031A0105,R2022016,ENVIRONMENTAL ENGINEERING LAB,C,1.5
21031A0105,R2022017,STRENGTH OF MATERIAL LAB,C,1.5
21031A0105,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY LAB,D,1.5
21031A0105,R2022019,SKILL ORIENTED COURSE*,C,2.0
21031A0106,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,C,3.0
21031A0106,R2022012,STRENGTH OF MATERIALS-II,C,3.0
21031A0106,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,C,3.0
21031A0106,R2022014,ENVIRONMENTAL ENGINEERING,C,3.0
21031A0106,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,D,3.0
21031A0106,R2022016,ENVIRONMENTAL ENGINEERING LAB,A,1.5
21031A0106,R2022017,STRENGTH OF MATERIAL LAB,A+,1.5
21031A0106,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY LAB,B,1.5
21031A0106,R2022019,SKILL ORIENTED COURSE*,B,2.0
21031A0107,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,D,3.0
21031A0107,R2022012,STRENGTH OF MATERIALS-II,E,3.0
21031A0107,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,D,3.0
21031A0107,R2022014,ENVIRONMENTAL ENGINEERING,E,3.0
21031A0107,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSIS,E,3.0
21031A0107,R2022016,ENVIRONMENTAL ENGINEERING LAB,C,1.5
21031A0107,R2022017,STRENGTH OF MATERIAL LAB,C,1.5
21031A0107,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY LAB,D,1.5
21031A0107,R2022019,SKILL ORIENTED COURSE*,C,2.0
21031A0108,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,E,3.0
21031A0108,R2022012,STRENGTH OF MATERIALS-II,D,3.0
