ID,Subject Code,Subject Name,Grade,Credits
22031A0101,R201201,MATHEMATICS-II,C,3
22031A0101,R201202,ENGINEERING CHEMISTRY,E,3
22031A0101,R201203,ENGINEERING MECHANICS,D,3
22031A0101,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
22031A0101,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLOGY,D,3
22031A0101,R201228,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0101,R201231,ENGINEERING CHEMISTRY LABORATORY,E,1.5
22031A0101,R201232,PROGRAMMING FOR PROBLEM SOLVING USING C LABORATORY,A,1.5
22031A0101,R201252,BUILDING PLANNING AND COMPUTER AIDED BUILDING DRAWING,A,1.5
22031A0102,R201201,MATHEMATICS-II,C,3
22031A0102,R201202,ENGINEERING CHEMISTRY,E,3
22031A0102,R201203,ENGINEERING MECHANICS,D,3
22031A0102,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,E,3
22031A0102,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLOGY,D,3
22031A0102,R201228,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0102,R201231,ENGINEERING CHEMISTRY LABORATORY,B,1.5
22031A0102,R201232,PROGRAMMING FOR PROBLEM SOLVING USING C LABORATORY,A+,1.5
22031A0102,R201252,BUILDING PLANNING AND COMPUTER AIDED BUILDING DRAWING,A,1.5
22031A0104,R201201,MATHEMATICS-II,F,0
22031A0104,R201202,ENGINEERING CHEMISTRY,F,0
22031A0104,R201203,ENGINEERING MECHANICS,F,0
22031A0104,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0104,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLOGY,E,3
22031A0104,R201228,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0104,R201231,ENGINEERING CHEMISTRY LABORATORY,D,1.5
22031A0104,R201232,PROGRAMMING FOR PROBLEM SOLVING USING C LABORATORY,A,1.5
22031A0104,R201252,BUILDING PLANNING AND COMPUTER AIDED BUILDING DRAWING,B,1.5
22031A0105,R201201,MATHEMATICS-II,E,3
22031A0105,R201202,ENGINEERING CHEMISTRY,F,0
22031A0105,R201203,ENGINEERING MECHANICS,E,3
22031A0105,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,D,3
22031A0105,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLOGY,E,3
22031A0105,R201228,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0105,R201231,ENGINEERING CHEMISTRY LABORATORY,D,1.5
22031A0105,R201232,PROGRAMMING FOR PROBLEM SOLVING USING C LABORATORY,A,1.5
22031A0105,R201252,BUILDING PLANNING AND COMPUTER AIDED BUILDING DRAWING,A,1.5
22031A0106,R201201,MATHEMATICS-II,E,3
22031A0106,R201202,ENGINEERING CHEMISTRY,F,0
22031A0106,R201203,ENGINEERING MECHANICS,F,0
22031A0106,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,F,0
22031A0106,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLOGY,F,0
22031A0106,R201228,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0107,R201201,MATHEMATICS-II,D,3
22031A0107,R201202,ENGINEERING CHEMISTRY,D,3
22031A0107,R201203,ENGINEERING MECHANICS,D,3
22031A0107,R201204,PROGRAMMING FOR PROBLEM SOLVING USING C,C,3
22031A0107,R201205,BUILDING MATERIALS AND CONCRETE TECHNOLOGY,C,3
22031A0107,R201228,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0107,R201231,ENGINEERING CHEMISTRY LABORATORY,D,1.5
