ID,Subject Code,Subject Name,Grade,Credits
22031A0101,R2031011,STRUCTURAL ANALYSIS,D,3
22031A0101,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,C,3
22031A0101,R2031013,GEOTECHNICAL ENGINEERING-1,C,3
22031A0101,R2031014,LAB SURVEY CAMP (FIELD WORK),A,1.5
22031A0101,R2031015,GEOTECHNICAL ENGINEERING LAB,B,1.5
22031A0101,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A,2
22031A0101,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0101,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0101,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,E,3
22031A0101,R203105F,DATA STRUCTURES,D,3
22031A0102,R2031011,STRUCTURAL ANALYSIS,D,3
22031A0102,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,C,3
22031A0102,R2031013,GEOTECHNICAL ENGINEERING-1,B,3
22031A0102,R2031014,LAB SURVEY CAMP (FIELD WORK),A,1.5
22031A0102,R2031015,GEOTECHNICAL ENGINEERING LAB,A,1.5
22031A0102,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A,2
22031A0102,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0102,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0102,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,E,3
22031A0102,R203105F,DATA STRUCTURES,E,3
22031A0104,R2031011,STRUCTURAL ANALYSIS,D,3
22031A0104,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,D,3
22031A0104,R2031013,GEOTECHNICAL ENGINEERING-1,D,3
22031A0104,R2031014,LAB SURVEY CAMP (FIELD WORK),A,1.5
22031A0104,R2031015,GEOTECHNICAL ENGINEERING LAB,B,1.5
22031A0104,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A+,2
22031A0104,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0104,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0104,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,E,3
22031A0104,R203105F,DATA STRUCTURES,E,3
22031A0105,R2031011,STRUCTURAL ANALYSIS,D,3
22031A0105,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,C,3
22031A0105,R2031013,GEOTECHNICAL ENGINEERING-1,D,3
22031A0105,R2031014,LAB SURVEY CAMP (FIELD WORK),A,1.5
22031A0105,R2031015,GEOTECHNICAL ENGINEERING LAB,B,1.5
22031A0105,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A,2
22031A0105,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0105,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0105,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,C,3
22031A0105,R203105F,DATA STRUCTURES,D,3
22031A0106,R2031011,STRUCTURAL ANALYSIS,E,3
22031A0106,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,D,3
22031A0106,R2031013,GEOTECHNICAL ENGINEERING-1,E,3
22031A0106,R2031014,LAB SURVEY CAMP (FIELD WORK),B,1.5
22031A0106,R2031015,GEOTECHNICAL ENGINEERING LAB,C,1.5
22031A0106,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A,2
22031A0106,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0106,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0106,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,E,3
22031A0106,R203105F,DATA STRUCTURES,D,3
22031A0107,R2031011,STRUCTURAL ANALYSIS,D,3
22031A0107,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,A,3
22031A0107,R2031013,GEOTECHNICAL ENGINEERING-1,B,3
22031A0107,R2031014,LAB SURVEY CAMP (FIELD WORK),A,1.5
22031A0107,R2031015,GEOTECHNICAL ENGINEERING LAB,A,1.5
22031A0107,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A+,2
22031A0107,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0107,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0107,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,D,3
22031A0107,R203105F,DATA STRUCTURES,D,3
22031A0108,R2031011,STRUCTURAL ANALYSIS,D,3
22031A0108,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,C,3
22031A0108,R2031013,GEOTECHNICAL ENGINEERING-1,F,0
22031A0108,R2031014,LAB SURVEY CAMP (FIELD WORK),A,1.5
22031A0108,R2031015,GEOTECHNICAL ENGINEERING LAB,B,1.5
22031A0108,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A+,2
22031A0108,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0108,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0108,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,D,3
22031A0108,R203105F,DATA STRUCTURES,E,3
22031A0109,R2031011,STRUCTURAL ANALYSIS,D,3
22031A0109,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,A,3
22031A0109,R2031013,GEOTECHNICAL ENGINEERING-1,D,3
22031A0109,R2031014,LAB SURVEY CAMP (FIELD WORK),B,1.5
22031A0109,R2031015,GEOTECHNICAL ENGINEERING LAB,C,1.5
22031A0109,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A+,2
22031A0109,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0109,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0109,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,D,3
22031A0109,R203105F,DATA STRUCTURES,E,3
22031A0110,R2031011,STRUCTURAL ANALYSIS,E,3
22031A0110,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,B,3
22031A0110,R2031013,GEOTECHNICAL ENGINEERING-1,C,3
22031A0110,R2031014,LAB SURVEY CAMP (FIELD WORK),A,1.5
22031A0110,R2031015,GEOTECHNICAL ENGINEERING LAB,C,1.5
22031A0110,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A+,2
22031A0110,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0110,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0110,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,D,3
22031A0110,R203105F,DATA STRUCTURES,D,3
22031A0112,R2031011,STRUCTURAL ANALYSIS,E,3
22031A0112,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,D,3
22031A0112,R2031013,GEOTECHNICAL ENGINEERING-1,E,3
22031A0112,R2031014,LAB SURVEY CAMP (FIELD WORK),A,1.5
22031A0112,R2031015,GEOTECHNICAL ENGINEERING LAB,B,1.5
22031A0112,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A,2
22031A0112,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0112,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0112,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,E,3
22031A0112,R203105F,DATA STRUCTURES,F,0
22031A0114,R2031011,STRUCTURAL ANALYSIS,D,3
22031A0114,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,D,3
22031A0114,R2031013,GEOTECHNICAL ENGINEERING-1,E,3
22031A0114,R2031014,LAB SURVEY CAMP (FIELD WORK),B,1.5
22031A0114,R2031015,GEOTECHNICAL ENGINEERING LAB,C,1.5
22031A0114,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A,2
22031A0114,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0114,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0114,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,E,3
22031A0114,R203105F,DATA STRUCTURES,E,3
22031A0115,R2031011,STRUCTURAL ANALYSIS,D,3
22031A0115,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,F,0
22031A0115,R2031013,GEOTECHNICAL ENGINEERING-1,E,3
22031A0115,R2031014,LAB SURVEY CAMP (FIELD WORK),A,1.5
22031A0115,R2031015,GEOTECHNICAL ENGINEERING LAB,C,1.5
22031A0115,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A,2
22031A0115,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,NOT CO,0
22031A0115,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0115,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,D,3
22031A0115,R203105F,DATA STRUCTURES,E,3
22031A0116,R2031011,STRUCTURAL ANALYSIS,E,3
22031A0116,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,D,3
22031A0116,R2031013,GEOTECHNICAL ENGINEERING-1,E,3
22031A0116,R2031014,LAB SURVEY CAMP (FIELD WORK),B,1.5
22031A0116,R2031015,GEOTECHNICAL ENGINEERING LAB,C,1.5
22031A0116,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A,2
22031A0116,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0116,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0116,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,E,3
22031A0116,R203105F,DATA STRUCTURES,E,3
22031A0117,R2031011,STRUCTURAL ANALYSIS,F,0
22031A0117,R2031012,DESIGN AND DRAWING OF REINFORCED CONCRET,F,0
22031A0117,R2031013,GEOTECHNICAL ENGINEERING-1,F,0
22031A0117,R2031014,LAB SURVEY CAMP (FIELD WORK),B,1.5
22031A0117,R2031015,GEOTECHNICAL ENGINEERING LAB,C,1.5
22031A0117,R2031016,SKILL ADVANCED COURSE/ SOFT SKILL COURSE,A,2
22031A0117,R2031017,(AICTE SUGGESTED) PROFESSIONAL ETHICS AN,COMPLE,0
22031A0117,R2031018,SUMMER INTERNSHIP 2MONTHS (MANDATORY) AF,A+,1.5
22031A0117,R203101C,ENVIRONMENTAL IMPACT ASSESSMENT,F,0
22031A0117,R203105F,DATA STRUCTURES,F,0
22031A0201,R2031021,POWER SYSTEMS-II,D,3
22031A0201,R2031022,POWER ELECTRONICS,E,3
22031A0201,R2031023,CONTROL SYSTEMS,E,3
22031A0201,R2031024,CONTROL SYSTEMS LAB,B,1.5
22031A0201,R2031025,POWER ELECTRONICS LAB,B,1.5
22031A0201,R2031026,SOFT SKILL COURSE:EMPLOYABILITY SKILLS,E,2
22031A0201,R2031027,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0201,R2031028,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,A,1.5
22031A0201,R203102B,UTILIZATION OF ELECTRICAL ENERGY,E,3
22031A0201,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
22031A0202,R2031021,POWER SYSTEMS-II,F,0
22031A0202,R2031022,POWER ELECTRONICS,E,3
22031A0202,R2031023,CONTROL SYSTEMS,F,0
22031A0202,R2031024,CONTROL SYSTEMS LAB,F,0
22031A0202,R2031025,POWER ELECTRONICS LAB,E,1.5
22031A0202,R2031026,SOFT SKILL COURSE:EMPLOYABILITY SKILLS,D,2
22031A0202,R2031027,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0202,R2031028,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,A,1.5
22031A0202,R203102B,UTILIZATION OF ELECTRICAL ENERGY,E,3
22031A0202,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
22031A0203,R2031021,POWER SYSTEMS-II,E,3
22031A0203,R2031022,POWER ELECTRONICS,F,0
22031A0203,R2031023,CONTROL SYSTEMS,F,0
22031A0203,R2031024,CONTROL SYSTEMS LAB,C,1.5
22031A0203,R2031025,POWER ELECTRONICS LAB,D,1.5
22031A0203,R2031026,SOFT SKILL COURSE:EMPLOYABILITY SKILLS,E,2
22031A0203,R2031027,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0203,R2031028,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,A,1.5
22031A0203,R203102B,UTILIZATION OF ELECTRICAL ENERGY,F,0
22031A0203,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,F,0
22031A0205,R2031021,POWER SYSTEMS-II,F,0
22031A0205,R2031022,POWER ELECTRONICS,C,3
22031A0205,R2031023,CONTROL SYSTEMS,D,3
22031A0205,R2031024,CONTROL SYSTEMS LAB,A,1.5
22031A0205,R2031025,POWER ELECTRONICS LAB,C,1.5
22031A0205,R2031026,SOFT SKILL COURSE:EMPLOYABILITY SKILLS,C,2
22031A0205,R2031027,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0205,R2031028,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,A,1.5
22031A0205,R203102B,UTILIZATION OF ELECTRICAL ENERGY,C,3
22031A0205,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,D,3
22031A0207,R2031021,POWER SYSTEMS-II,D,3
22031A0207,R2031022,POWER ELECTRONICS,E,3
22031A0207,R2031023,CONTROL SYSTEMS,E,3
22031A0207,R2031024,CONTROL SYSTEMS LAB,D,1.5
22031A0207,R2031025,POWER ELECTRONICS LAB,E,1.5
22031A0207,R2031026,SOFT SKILL COURSE:EMPLOYABILITY SKILLS,C,2
22031A0207,R2031027,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0207,R2031028,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,A,1.5
22031A0207,R203102B,UTILIZATION OF ELECTRICAL ENERGY,C,3
22031A0207,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
22031A0208,R2031021,POWER SYSTEMS-II,E,3
22031A0208,R2031022,POWER ELECTRONICS,E,3
22031A0208,R2031023,CONTROL SYSTEMS,E,3
22031A0208,R2031024,CONTROL SYSTEMS LAB,E,1.5
22031A0208,R2031025,POWER ELECTRONICS LAB,E,1.5
22031A0208,R2031026,SOFT SKILL COURSE:EMPLOYABILITY SKILLS,E,2
22031A0208,R2031027,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0208,R2031028,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,A,1.5
22031A0208,R203102B,UTILIZATION OF ELECTRICAL ENERGY,E,3
22031A0208,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
22031A0210,R2031021,POWER SYSTEMS-II,F,0
22031A0210,R2031022,POWER ELECTRONICS,F,0
22031A0210,R2031023,CONTROL SYSTEMS,F,0
22031A0210,R2031024,CONTROL SYSTEMS LAB,E,1.5
22031A0210,R2031025,POWER ELECTRONICS LAB,C,1.5
22031A0210,R2031026,SOFT SKILL COURSE:EMPLOYABILITY SKILLS,C,2
22031A0210,R2031027,ENVIRONMENTAL SCIENCE,COMPLE,0
22031A0210,R2031028,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,A,1.5
22031A0210,R203102B,UTILIZATION OF ELECTRICAL ENERGY,F,0
22031A0210,R203105G,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,E,3
22031A0212,R2031021,POWER SYSTEMS-II,E,3
22031A0212,R2031022,POWER ELECTRONICS,E,3
22031A0212,R2031023,CONTROL SYSTEMS,E,3
22031A0212,R2031024,CONTROL SYSTEMS LAB,E,1.5
22031A0212,R2031025,POWER ELECTRONICS LAB,B,1.5
22031A0212,R2031026,SOFT SKILL COURSE:EMPLOYABILITY SKILLS,C,2
