ID,Subject Code,Subject Name,Grade,Credits
22031A0101,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,D,3.0
22031A0101,R2022012,STRENGTH OF MATERIALS-II,C,3.0
22031A0101,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,F,0.0
22031A0101,R2022014,ENVIRONMENTAL ENGINEERING,E,3.0
22031A0101,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,D,3.0
22031A0101,R2022016,ENVIRONMENTAL ENGINEERING LAB,A,1.5
22031A0101,R2022017,STRENGTH OF MATERIAL LAB,C,1.5
22031A0101,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY L,A,1.5
22031A0101,R2022019,SKILL ORIENTED COURSE*,E,2.0
22031A0102,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,C,3.0
22031A0102,R2022012,STRENGTH OF MATERIALS-II,C,3.0
22031A0102,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,D,3.0
22031A0102,R2022014,ENVIRONMENTAL ENGINEERING,E,3.0
22031A0102,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,D,3.0
22031A0102,R2022016,ENVIRONMENTAL ENGINEERING LAB,A,1.5
22031A0102,R2022017,STRENGTH OF MATERIAL LAB,A+,1.5
22031A0102,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY L,A+,1.5
22031A0102,R2022019,SKILL ORIENTED COURSE*,A+,2.0
22031A0104,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,F,0.0
22031A0104,R2022012,STRENGTH OF MATERIALS-II,F,0.0
22031A0104,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,E,3.0
22031A0104,R2022014,ENVIRONMENTAL ENGINEERING,F,0.0
22031A0104,R2022015,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,E,3.0
22031A0104,R2022016,ENVIRONMENTAL ENGINEERING LAB,A,1.5
22031A0104,R2022017,STRENGTH OF MATERIAL LAB,C,1.5
22031A0104,R2022018,FLUID MECHANICS & HYDRAULICS MACHINERY L,A,1.5
22031A0104,R2022019,SKILL ORIENTED COURSE*,C,2.0
22031A0105,R2022011,COMPLEX VARIABLES AND STATISTICAL METHOD,F,0.0
22031A0105,R2022012,STRENGTH OF MATERIALS-II,E,3.0
22031A0105,R2022013,HYDRAULICS AND HYDRAULIC MACHINERY,E,3.0
