ID,Subject Code,Subject Name,Grade,Credits
23031A0101,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,D,3
23031A0101,R231207,COMMUNICATIVE ENGLISH,C,2
23031A0101,R231207L,COMMUNICATIVE ENGLISH,C,1
23031A0101,R231208,ENGINEERING CHEMISTRY,E,3
23031A0101,R231208L,ENGINEERING CHEMISTRY LAB,A,1
23031A0101,R231211,BASIC CIVIL&MECHANICAL ENGINEERING,C,3
23031A0101,R231211L,ENGINEERING WORKSHOP,A,1.5
23031A0101,R231212,ENGINEERING MECHANICS,E,3
23031A0101,R231212L,ENGINEERING MECHANICS&BUILDING PRACTICES,A,1.5
23031A0101,R231215L,"HEALTH AND WELLNESS,YOGA AND SPORTS",A,0.5
23031A0102,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,E,3
23031A0102,R231207,COMMUNICATIVE ENGLISH,E,2
23031A0102,R231207L,COMMUNICATIVE ENGLISH,D,1
23031A0102,R231208,ENGINEERING CHEMISTRY,F,0
23031A0102,R231208L,ENGINEERING CHEMISTRY LAB,A,1
23031A0102,R231211,BASIC CIVIL&MECHANICAL ENGINEERING,E,3
23031A0102,R231211L,ENGINEERING WORKSHOP,A,1.5
23031A0102,R231212,ENGINEERING MECHANICS,F,0
23031A0102,R231212L,ENGINEERING MECHANICS&BUILDING PRACTICES,A,1.5
23031A0102,R231215L,"HEALTH AND WELLNESS,YOGA AND SPORTS",A,0.5
23031A0103,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,B,3
23031A0103,R231207,COMMUNICATIVE ENGLISH,E,2
23031A0103,R231207L,COMMUNICATIVE ENGLISH,E,1
23031A0103,R231208,ENGINEERING CHEMISTRY,E,3
23031A0103,R231208L,ENGINEERING CHEMISTRY LAB,A,1
23031A0103,R231211,BASIC CIVIL&MECHANICAL ENGINEERING,D,3
23031A0103,R231211L,ENGINEERING WORKSHOP,B,1.5
23031A0103,R231212,ENGINEERING MECHANICS,E,3
23031A0103,R231212L,ENGINEERING MECHANICS&BUILDING PRACTICES,C,1.5
23031A0103,R231215L,"HEALTH AND WELLNESS,YOGA AND SPORTS",A,0.5
23031A0104,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,F,0
23031A0104,R231207,COMMUNICATIVE ENGLISH,D,2
23031A0104,R231207L,COMMUNICATIVE ENGLISH,D,1
23031A0104,R231208,ENGINEERING CHEMISTRY,F,0
23031A0104,R231208L,ENGINEERING CHEMISTRY LAB,B,1
23031A0104,R231211,BASIC CIVIL&MECHANICAL ENGINEERING,D,3
23031A0104,R231211L,ENGINEERING WORKSHOP,A,1.5
23031A0104,R231212,ENGINEERING MECHANICS,E,3
23031A0104,R231212L,ENGINEERING MECHANICS&BUILDING PRACTICES,B,1.5
23031A0104,R231215L,"HEALTH AND WELLNESS,YOGA AND SPORTS",A,0.5
23031A0105,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,F,0
23031A0105,R231207,COMMUNICATIVE ENGLISH,E,2
23031A0105,R231207L,COMMUNICATIVE ENGLISH,F,0
23031A0105,R231208,ENGINEERING CHEMISTRY,F,0
23031A0105,R231208L,ENGINEERING CHEMISTRY LAB,F,0
23031A0105,R231211,BASIC CIVIL&MECHANICAL ENGINEERING,F,0
23031A0105,R231211L,ENGINEERING WORKSHOP,A,1.5
23031A0105,R231212,ENGINEERING MECHANICS,F,0
23031A0105,R231212L,ENGINEERING MECHANICS&BUILDING PRACTICES,B,1.5
23031A0105,R231215L,"HEALTH AND WELLNESS,YOGA AND SPORTS",A,0.5
23031A0106,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,D,3
23031A0106,R231207,COMMUNICATIVE ENGLISH,B,2
23031A0106,R231207L,COMMUNICATIVE ENGLISH,D,1
