ID,Subject Code,Subject Name,Grade,Credits
23031A0101,R231105,LINEAR ALGEBRA & CALCULUS,E,3
23031A0101,R231106L,COMPUTER PROGRAMMING LAB,B,1.5
23031A0101,R231107,INTRODUCTION TO PROGRAMMING,E,3
23031A0101,R231108,ENGINEERING PHYSICS,E,3
23031A0101,R231108L,IT WORKSHOP,B,1
23031A0101,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,E,3
23031A0101,R231109L,ENGINEERING PHYSICS LAB,B,1
23031A0101,R231110,ENGINEERING GRAPHICS,D,3
23031A0101,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,B,1.5
23031A0101,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,A,0.5
23031A0102,R231105,LINEAR ALGEBRA & CALCULUS,F,0
23031A0102,R231106L,COMPUTER PROGRAMMING LAB,B,1.5
23031A0102,R231107,INTRODUCTION TO PROGRAMMING,F,0
23031A0102,R231108,ENGINEERING PHYSICS,F,0
23031A0102,R231108L,IT WORKSHOP,B,1
23031A0102,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,F,0
23031A0102,R231109L,ENGINEERING PHYSICS LAB,C,1
23031A0102,R231110,ENGINEERING GRAPHICS,E,3
23031A0102,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,B,1.5
23031A0102,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,A,0.5
23031A0103,R231105,LINEAR ALGEBRA & CALCULUS,D,3
23031A0103,R231106L,COMPUTER PROGRAMMING LAB,B,1.5
23031A0103,R231107,INTRODUCTION TO PROGRAMMING,D,3
23031A0103,R231108,ENGINEERING PHYSICS,C,3
23031A0103,R231108L,IT WORKSHOP,B,1
23031A0103,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,E,3
23031A0103,R231109L,ENGINEERING PHYSICS LAB,C,1
23031A0103,R231110,ENGINEERING GRAPHICS,D,3
23031A0103,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,B,1.5
23031A0103,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,A,0.5
23031A0104,R231105,LINEAR ALGEBRA & CALCULUS,E,3
23031A0104,R231106L,COMPUTER PROGRAMMING LAB,B,1.5
23031A0104,R231107,INTRODUCTION TO PROGRAMMING,F,0
23031A0104,R231108,ENGINEERING PHYSICS,F,0
23031A0104,R231108L,IT WORKSHOP,B,1
23031A0104,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,D,3
23031A0104,R231109L,ENGINEERING PHYSICS LAB,C,1
23031A0104,R231110,ENGINEERING GRAPHICS,E,3
23031A0104,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,C,1.5
23031A0104,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,A,0.5
23031A0105,R231105,LINEAR ALGEBRA & CALCULUS,F,0
23031A0105,R231106L,COMPUTER PROGRAMMING LAB,B,1.5
23031A0105,R231107,INTRODUCTION TO PROGRAMMING,F,0
23031A0105,R231108,ENGINEERING PHYSICS,F,0
23031A0105,R231108L,IT WORKSHOP,B,1
23031A0105,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,F,0
23031A0105,R231109L,ENGINEERING PHYSICS LAB,C,1
23031A0105,R231110,ENGINEERING GRAPHICS,F,0
23031A0105,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,C,1.5
23031A0105,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,A,0.5
