ID,Subject Code,Subject Name,Grade,Credits
24031A0101,R231105,LINEAR ALGEBRA & CALCULUS,F,0
24031A0101,R231106L,COMPUTER PROGRAMMING LAB,C,1.5
24031A0101,R231107,INTRODUCTION TO PROGRAMMING,F,0
24031A0101,R231108,ENGINEERING PHYSICS,F,0
24031A0101,R231108L,IT WORKSHOP,C,1
24031A0101,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,F,0
24031A0101,R231109L,ENGINEERING PHYSICS LAB,A,1
24031A0101,R231110,ENGINEERING GRAPHICS,C,3
24031A0101,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,D,1.5
24031A0101,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,C,0.5
24031A0102,R231105,LINEAR ALGEBRA & CALCULUS,F,0
24031A0102,R231106L,COMPUTER PROGRAMMING LAB,D,1.5
24031A0102,R231107,INTRODUCTION TO PROGRAMMING,F,0
24031A0102,R231108,ENGINEERING PHYSICS,F,0
24031A0102,R231108L,IT WORKSHOP,E,1
24031A0102,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,F,0
24031A0102,R231109L,ENGINEERING PHYSICS LAB,A,1
24031A0102,R231110,ENGINEERING GRAPHICS,F,0
24031A0102,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,E,1.5
24031A0102,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,C,0.5
24031A0103,R231105,LINEAR ALGEBRA & CALCULUS,A,3
24031A0103,R231106L,COMPUTER PROGRAMMING LAB,C,1.5
24031A0103,R231107,INTRODUCTION TO PROGRAMMING,D,3
24031A0103,R231108,ENGINEERING PHYSICS,A,3
24031A0103,R231108L,IT WORKSHOP,B,1
24031A0103,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,C,3
24031A0103,R231109L,ENGINEERING PHYSICS LAB,S,1
24031A0103,R231110,ENGINEERING GRAPHICS,D,3
24031A0103,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,A,1.5
24031A0103,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,B,0.5
24031A0104,R231105,LINEAR ALGEBRA & CALCULUS,D,3
24031A0104,R231106L,COMPUTER PROGRAMMING LAB,C,1.5
24031A0104,R231107,INTRODUCTION TO PROGRAMMING,E,3
24031A0104,R231108,ENGINEERING PHYSICS,E,3
24031A0104,R231108L,IT WORKSHOP,C,1
24031A0104,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,E,3
24031A0104,R231109L,ENGINEERING PHYSICS LAB,A,1
24031A0104,R231110,ENGINEERING GRAPHICS,D,3
24031A0104,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,E,1.5
24031A0104,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,C,0.5
24031A0105,R231105,LINEAR ALGEBRA & CALCULUS,D,3
24031A0105,R231106L,COMPUTER PROGRAMMING LAB,D,1.5
24031A0105,R231107,INTRODUCTION TO PROGRAMMING,D,3
24031A0105,R231108,ENGINEERING PHYSICS,D,3
24031A0105,R231108L,IT WORKSHOP,B,1
24031A0105,R231109,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,D,3
24031A0105,R231109L,ENGINEERING PHYSICS LAB,A,1
24031A0105,R231110,ENGINEERING GRAPHICS,A,3
24031A0105,R231110L,ELECTRICAL & ELECTRONICS ENGINEERING WOR,D,1.5
24031A0105,R231111L,NSS/NCC/SCOUTS & GUIDES/COMMUNITY SERVIC,C,0.5
24031A0106,R231105,LINEAR ALGEBRA & CALCULUS,D,3
24031A0106,R231106L,COMPUTER PROGRAMMING LAB,A,1.5
24031A0106,R231107,INTRODUCTION TO PROGRAMMING,D,3
24031A0106,R231108,ENGINEERING PHYSICS,D,3
