ID,Subject Code,Subject Name,Grade,Credits
24031A0101,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,F,0
24031A0101,R231207,COMMUNICATIVE ENGLISH,D,2
24031A0101,R231207L,COMMUNICATIVE ENGLISH LAB,E,1
24031A0101,R231208,ENGINEERING CHEMISTRY,F,0
24031A0101,R231208L,ENGINEERING CHEMISTRY LAB,B,1
24031A0101,R231211,BASIC CIVIL&MECHANICAL ENGINEERING,E,3
24031A0101,R231211L,ENGINEERING WORKSHOP,B,1.5
24031A0101,R231212,ENGINEERING MECHANICS,F,0
24031A0101,R231212L,ENGINEERING MECHANICS&BUILDING PRACTICES,B,1.5
24031A0101,R231215L,"HEALTH AND WELLNESS,YOGA AND SPORTS",B,0.5
24031A0102,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,F,0
24031A0102,R231207,COMMUNICATIVE ENGLISH,F,0
24031A0102,R231207L,COMMUNICATIVE ENGLISH LAB,F,0
24031A0102,R231208,ENGINEERING CHEMISTRY,F,0
24031A0102,R231208L,ENGINEERING CHEMISTRY LAB,D,1
24031A0102,R231211,BASIC CIVIL&MECHANICAL ENGINEERING,F,0
24031A0102,R231211L,ENGINEERING WORKSHOP,B,1.5
24031A0102,R231212,ENGINEERING MECHANICS,F,0
24031A0102,R231212L,ENGINEERING MECHANICS&BUILDING PRACTICES,A,1.5
24031A0102,R231215L,"HEALTH AND WELLNESS,YOGA AND SPORTS",B,0.5
24031A0103,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,C,3
24031A0103,R231207,COMMUNICATIVE ENGLISH,B,2
24031A0103,R231207L,COMMUNICATIVE ENGLISH LAB,B,1
24031A0103,R231208,ENGINEERING CHEMISTRY,D,3
24031A0103,R231208L,ENGINEERING CHEMISTRY LAB,B,1
24031A0103,R231211,BASIC CIVIL&MECHANICAL ENGINEERING,C,3
24031A0103,R231211L,ENGINEERING WORKSHOP,A,1.5
24031A0103,R231212,ENGINEERING MECHANICS,C,3
24031A0103,R231212L,ENGINEERING MECHANICS&BUILDING PRACTICES,A,1.5
24031A0103,R231215L,"HEALTH AND WELLNESS,YOGA AND SPORTS",B,0.5
24031A0104,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,D,3
24031A0104,R231207,COMMUNICATIVE ENGLISH,D,2
24031A0104,R231207L,COMMUNICATIVE ENGLISH LAB,D,1
24031A0104,R231208,ENGINEERING CHEMISTRY,E,3
24031A0104,R231208L,ENGINEERING CHEMISTRY LAB,B,1
24031A0104,R231211,BASIC CIVIL&MECHANICAL ENGINEERING,E,3
24031A0104,R231211L,ENGINEERING WORKSHOP,A,1.5
24031A0104,R231212,ENGINEERING MECHANICS,D,3
24031A0104,R231212L,ENGINEERING MECHANICS&BUILDING PRACTICES,A,1.5
24031A0104,R231215L,"HEALTH AND WELLNESS,YOGA AND SPORTS",B,0.5
24031A0105,R231202,DIFFERENTIAL EQUATIONS&VECTOR CALCULUS,E,3
24031A0105,R231207,COMMUNICATIVE ENGLISH,D,2
24031A0105,R231207L,COMMUNICATIVE ENGLISH LAB,C,1
24031A0105,R231208,ENGINEERING CHEMISTRY,F,0
24031A0105,R231208L,ENGINEERING CHEMISTRY LAB,B,1
